dm_time,send_date,send_month,send_time,text,user_id
0 days 00:03:28.790000000,2021-01-10,2021-01,2021-01-10 15:39:18,阿里不背锅，谢谢,195e2f5b
0 days 00:01:41.911000000,2021-01-10,2021-01,2021-01-10 15:39:16,真的就很拼,b4eb1abf
0 days 00:00:25.379000000,2021-01-10,2021-01,2021-01-10 15:39:15,保护,1d5e59a9
0 days 00:09:30.857000000,2021-01-10,2021-01,2021-01-10 15:39:11,做过一次HR，你就知道他们都是怎么发现你在招聘平台的活跃情况了！,72865b27
0 days 00:00:18.464000000,2021-01-10,2021-01,2021-01-10 15:38:44,保护,bda7e3ab
0 days 00:10:23.251000000,2021-01-10,2021-01,2021-01-10 15:38:35,牛逼,ed53261f
0 days 00:14:44.110000000,2021-01-10,2021-01,2021-01-10 15:38:34,啊！天啊,872f3bcb
0 days 00:02:13.101000000,2021-01-10,2021-01,2021-01-10 15:38:34,up主 说的完全是真实的 挺你,20da82cb
0 days 00:00:10.678000000,2021-01-10,2021-01,2021-01-10 15:38:15,顶你上去,6cb5c67b
0 days 00:02:18.067000000,2021-01-10,2021-01,2021-01-10 15:38:02,拼多多所谓高工资就是算上加班的薪资，这能否算进总包么？,7c20c459
0 days 00:01:48.883000000,2021-01-10,2021-01,2021-01-10 15:37:54,？？？,7d43f43c
0 days 00:09:40.750000000,2021-01-10,2021-01,2021-01-10 15:37:53,不是脉脉,ed53261f
0 days 00:01:31.796000000,2021-01-10,2021-01,2021-01-10 15:37:39,每月吧,787abeb2
0 days 00:02:25.853000000,2021-01-10,2021-01,2021-01-10 15:37:31,医院只有4天,c1ed17ee
0 days 00:10:29.406000000,2021-01-10,2021-01,2021-01-10 15:37:20,respect,f133abbe
0 days 00:12:20.286000000,2021-01-10,2021-01,2021-01-10 15:37:13,不能说？才是可怕,971b31f8
0 days 00:14:13.787000000,2021-01-10,2021-01,2021-01-10 15:37:05,气死我了，up主要好好的，看多多倒闭！,450baf6e
0 days 00:08:22.634000000,2021-01-10,2021-01,2021-01-10 15:36:45,真的可怕,94a91d34
0 days 00:13:59.680000000,2021-01-10,2021-01,2021-01-10 15:36:32,不 你应经很成熟了,20f6e178
0 days 00:00:55.718000000,2021-01-10,2021-01,2021-01-10 15:36:23,这次一定！！！！！,de77774b
0 days 00:13:25.858000000,2021-01-10,2021-01,2021-01-10 15:35:54,加油up,b6502dbc
0 days 00:13:17.864000000,2021-01-10,2021-01,2021-01-10 15:35:46,说得好,b6502dbc
0 days 00:06:04.393000000,2021-01-10,2021-01,2021-01-10 15:35:43,你没错！,4272471f
0 days 00:03:10.873000000,2021-01-10,2021-01,2021-01-10 15:35:42,跟美团总部一个样,77b47d3f
0 days 00:04:09.744000000,2021-01-10,2021-01,2021-01-10 15:35:41,加油加油加油,1851e864
0 days 00:13:19.134000000,2021-01-10,2021-01,2021-01-10 15:35:40,说的好！,c3019131
0 days 00:08:17.982000000,2021-01-10,2021-01,2021-01-10 15:35:37,阿里也是这样！！！在阿里提离职也被所谓档案威胁！,72865b27
0 days 00:06:01.406000000,2021-01-10,2021-01,2021-01-10 15:35:35,ni mei yiu cuo,4272471f
0 days 00:04:31.507000000,2021-01-10,2021-01,2021-01-10 15:35:25,pdd就是拿时间拿身体换钱，所以package很高。看每个人的选择吧,49f4dd6d
0 days 00:00:13.118000000,2021-01-10,2021-01,2021-01-10 15:35:20,给我顶上去,6ddc74ef
0 days 00:12:56.227000000,2021-01-10,2021-01,2021-01-10 15:35:18,活该找不到人，这种公司，快倒闭吧,450baf6e
0 days 00:02:39.825000000,2021-01-10,2021-01,2021-01-10 15:35:17,抵制殡夕夕,d6e5d65a
0 days 00:10:46.241000000,2021-01-10,2021-01,2021-01-10 15:35:11,老哥加油,8bde4957
0 days 00:15:19.000000000,2021-01-10,2021-01,2021-01-10 15:35:06,加油,30d4a36f
0 days 00:00:26.917000000,2021-01-10,2021-01,2021-01-10 15:34:53,加油！！?,80bda992
0 days 00:01:25.099000000,2021-01-10,2021-01,2021-01-10 15:34:46,666666,ef2f989c
0 days 00:00:42.690000000,2021-01-10,2021-01,2021-01-10 15:34:43,抵制拼多多，从我做起,eb3d4b19
0 days 00:12:36.187000000,2021-01-10,2021-01,2021-01-10 15:34:32,拼多多里面的这些主管已经麻木到恶臭了,450baf6e
0 days 00:00:04.254000000,2021-01-10,2021-01,2021-01-10 15:34:29,保护,5aa2df56
0 days 00:00:11.926000000,2021-01-10,2021-01,2021-01-10 15:34:24,加油,f870173
0 days 00:00:08.437000000,2021-01-10,2021-01,2021-01-10 15:34:22,能发弹幕吗？,24cfddc3
0 days 00:04:03.659000000,2021-01-10,2021-01,2021-01-10 15:34:20,干拼夕夕,b7a5113
0 days 00:00:53.209000000,2021-01-10,2021-01,2021-01-10 15:34:19,已经三连,fcdab262
0 days 00:06:31.060000000,2021-01-10,2021-01,2021-01-10 15:34:04,你很棒,e53d84b
0 days 00:04:01.419000000,2021-01-10,2021-01,2021-01-10 15:34:02,加油,b7a5113
0 days 00:03:47.771000000,2021-01-10,2021-01,2021-01-10 15:33:56,大厂的员工关怀？你经历的还是太少了,8892a3c0
0 days 00:03:56.659000000,2021-01-10,2021-01,2021-01-10 15:33:53,保护,b7a5113
0 days 00:03:53.939000000,2021-01-10,2021-01,2021-01-10 15:33:48,主持,b7a5113
0 days 00:08:36.433000000,2021-01-10,2021-01,2021-01-10 15:33:47,2N,6006423
0 days 00:00:07.060000000,2021-01-10,2021-01,2021-01-10 15:33:33,瑞思拜,1369a46e
0 days 00:09:48.571000000,2021-01-10,2021-01,2021-01-10 15:33:30,准备卸载脉脉了,5b1f6b21
0 days 00:12:08.680000000,2021-01-10,2021-01,2021-01-10 15:33:25,恐怖,d942c1df
0 days 00:09:03.956000000,2021-01-10,2021-01,2021-01-10 15:33:18,仲裁,971b31f8
0 days 00:00:36.506000000,2021-01-10,2021-01,2021-01-10 15:33:14,抵制殡夕夕,d6e5d65a
0 days 00:09:09.653000000,2021-01-10,2021-01,2021-01-10 15:33:12,瑞斯拜,f0302a71
0 days 00:10:33.062000000,2021-01-10,2021-01,2021-01-10 15:33:05,加油！ 加油！,20f6e178
0 days 00:00:27.059000000,2021-01-10,2021-01,2021-01-10 15:33:04,殡夕夕,d6e5d65a
0 days 00:13:25.446000000,2021-01-10,2021-01,2021-01-10 15:32:50,淦 太真实了,7c312f03
0 days 00:00:18.573000000,2021-01-10,2021-01,2021-01-10 15:32:49,兄弟，支持一波,930cb0bb
0 days 00:10:10.112000000,2021-01-10,2021-01,2021-01-10 15:32:42,牛逼 ，真正的勇士敢于直面惨淡的人生，敢于正视淋漓的鲜血,20f6e178
0 days 00:00:09.953000000,2021-01-10,2021-01,2021-01-10 15:32:41,顶,930cb0bb
0 days 00:00:52.116000000,2021-01-10,2021-01,2021-01-10 15:32:27,这个世界会好吗？,af8fa317
0 days 00:10:50.123000000,2021-01-10,2021-01,2021-01-10 15:32:21,给你笔芯 来字节吧 ,4361746e
0 days 00:00:48.190000000,2021-01-10,2021-01,2021-01-10 15:31:59,加油！保护,af8fa317
0 days 00:13:28.878000000,2021-01-10,2021-01,2021-01-10 15:31:53,逻辑清晰 谈吐得体,fd6adc37
0 days 00:07:13.107000000,2021-01-10,2021-01,2021-01-10 15:31:27,害,3a09bcfd
0 days 00:12:35.184000000,2021-01-10,2021-01,2021-01-10 15:31:19,正常人类不该都有这样的心理活动吗,219ac418
0 days 00:08:29.612000000,2021-01-10,2021-01,2021-01-10 15:30:58,垃圾拼多多,b6502dbc
0 days 00:00:55.400000000,2021-01-10,2021-01,2021-01-10 15:30:51,有垃圾老板才会有垃圾制度,7c20c459
0 days 00:10:13.839000000,2021-01-10,2021-01,2021-01-10 15:30:45,仲裁没用的,53a86ace
0 days 00:07:35.049000000,2021-01-10,2021-01,2021-01-10 15:30:31,职言不是匿名吗？,88e48756
0 days 00:00:20.300000000,2021-01-10,2021-01,2021-01-10 15:30:19,原来是你,9137054f
